-4.169606, 1.697439, -3.473220, 2.498281
0.252440, 1.662619, 1.035873, 1.053282
1.369521, 4.673100, 2.268597, 4.254925
2.665862, 3.899477, 3.439485, 3.230398
3.251307, -0.198633, 2.728589, -0.825895
2.226779, -1.390430, 1.599517, -2.122236
0.303176, -3.439485, -0.386811, -4.275834
-2.456775, -4.924005, -3.188581, -4.338560
-3.857660, -3.732207, -4.694009, -3.167672
-5.425814, -1.683152, -5.216727, -2.582227
4.374023, 1.050967, 3.733434, 0.250230
-1.131040, 5.434999, 0.210193, 5.595147
-1.811666, 4.213876, -2.612403, 3.473195
-5.394962, -1.691556, -5.194778, -2.652440
0.250230, -3.473195, -0.330304, -4.213876
-1.037862, 7.884111, -0.018208, 9.049430
-0.018208, 9.049430, 0.819365, 8.284690
0.819365, 8.284690, 1.584105, 8.976598
1.584105, 8.976598, 2.385262, 8.393938
2.713008, 8.248273, 3.805495, 7.410700
6.245381, 5.371392, 7.629198, 4.133241
7.337868, 3.951160, 8.029776, 3.404916
5.444224, -1.074278, 3.150003, -3.769078
-8.175441, -2.640176, -6.136133, -4.424571
-5.990468, -4.242489, -5.371392, -4.825149
-5.371392, -5.080062, -3.404916, -6.791625
0.237537, -3.411036, -0.446570, -4.247168
4.361186, 1.016660, 3.734087, 0.237537
3.734087, 0.237537, 4.057138, -0.047507
-4.456201, 3.867108, -1.852791, 6.888584
0.813840, -2.654987, 0.280174, -3.882418
0.760474, -2.708354, 1.694389, -3.001870
1.694389, -2.975186, 1.053990, -4.496134
-7.538028, -1.721072, -8.231793, -2.654987
-4.682917, 2.654987, -5.696881, 1.294139
-5.014613, 3.092845, -8.377707, -0.690635
-8.377707, -0.690635, -7.456859, -1.531409
-7.456859, -1.551427, -7.617006, -1.831685
-3.012771, -7.096528, -2.352164, -7.416822
-2.192016, -7.556951, -1.571445, -7.997356
-1.591464, -8.337669, -0.790727, -9.018295
3.633342, -4.554189, 2.232053, -6.075589
-1.949099, -1.058451, -1.187531, -1.652216
